sku,category
70001-0339,
70002-0102,
70002-0145,
70002-0148,
70002-0149,
70002-0154,
70002-0158,
70003-0102,
70003-0145,
70003-0149,
71401-0337,
72866-5339,
74083-6272,
74236-6149,
74236-6271,
74236-6272,
74248-6162,
74248-6190,
74248-6193,
74248-6272,
74248-6602,
74261-6202,
74261-6271,
74261-6273,
74261-6299,
81126-5304,
81126-5318,
81126-5331,
81126-6145,
81126-6148,
81126-6153,
81126-6190,
81170-6125,
81174-6117,
81174-6145,
81175-6149,
81184-6149,
81184-6158,
82050-6148,
82050-6149,
82051-6145,
82073-6125,
82073-6617,
82077-6110,
82077-6125,
82077-6617,
82077-6630,
82080-6190,
82082-6190,
82084-6190,
82086-6154,
82086-6190,
82087-6617,
82092-6190,
82092-6193,
82106-6162,
82107-6617,
82114-6617,
82118-6190,
82143-6630,
82147-6149,
82156-6149,
82745-6602,
82918-6609,
82950-6162,
87734-4377,
87735-4324,
88255-4332,
88335-6202,
88470-6111,
88470-6202,
88470-6277,
88508-6102,
88508-6125,
88508-6202,
88516-6108,
88516-6149,
88519-6168,
88528-6617,
88547-6168,
88549-6149,
88690-6110,
88740-6102,
88740-6202,
89031-6149,
89031-6168,
89069-6150,
89074-6162,
89074-6170,
89156-6272,
89182-6202,
